Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
7-multicolor-vase-set-of-2,"7"" Multicolor Vase Set of 2","<p data-pm-slice=""1 1 []"" dir=""auto"" data-mce-fragment=""1"">Add a touch of vibrant beauty to your home decor with the 7"" Multicolor Floral Vase! Hand made by artisans, this round vase features an eye-catching floral pattern that is sure to bring life to any room. Perfect for displaying a single flower or arranging a bouquet, this unique vase will add a cheerful touch of color to any home.</p>
<p data-pm-slice=""1 1 []"" dir=""auto"" data-mce-fragment=""1""><strong data-mce-fragment=""1"">Features:</strong><br data-mce-fragment=""1""></p>
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">Crafted from Brass</li>
<li data-mce-fragment=""1"">Elegant and eye-catching design</li>
<li data-mce-fragment=""1"">Traditional design</li>
<li data-mce-fragment=""1"">Round circular motifs</li>
</ul>
<p data-pm-slice=""1 1 []"" dir=""auto"" data-mce-fragment=""1""><b data-mce-fragment=""1""></b><b data-mce-fragment=""1"">Dimensions:<br data-mce-fragment=""1""></b></p>
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">Vase: 3""W x 7""H</li>
</ul>",hometrends,,Vases,"",false,Title,Default Title,,,,,,,,AZM-0009,0.0,,0,deny,manual,4659.00,,true,false,,,,,"",https://cdn.shopify.com/s/files/1/0751/7588/7034/files/7-multicolor-vase-set-of-2-vases-946.webp?v=1772345869,1,"",false,,,,kg,,,active
7-multicolor-vase-set-of-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0751/7588/7034/files/7-multicolor-vase-set-of-2-vases-255.webp?v=1772345869,2,"",,,,,,,,
7-multicolor-vase-set-of-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0751/7588/7034/files/7-multicolor-vase-set-of-2-vases-950.webp?v=1772345870,3,"",,,,,,,,
7-multicolor-vase-set-of-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0751/7588/7034/files/7-multicolor-vase-set-of-2-vases-539.webp?v=1772345870,4,"",,,,,,,,
7-multicolor-vase-set-of-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0751/7588/7034/files/7-multicolor-vase-set-of-2-vases-443.webp?v=1772345871,5,"",,,,,,,,
7-multicolor-vase-set-of-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0751/7588/7034/files/7-multicolor-vase-set-of-2-vases-474.webp?v=1772345871,6,"",,,,,,,,
7-multicolor-vase-set-of-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0751/7588/7034/files/7-multicolor-vase-set-of-2-vases-918.webp?v=1772345871,7,"",,,,,,,,
7-multicolor-vase-set-of-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0751/7588/7034/files/7-multicolor-vase-set-of-2-vases-882.webp?v=1772345872,8,"",,,,,,,,
7-multicolor-vase-set-of-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0751/7588/7034/files/7-multicolor-vase-set-of-2-vases-175.webp?v=1772345873,9,"",,,,,,,,
7-multicolor-vase-set-of-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0751/7588/7034/files/7-multicolor-vase-set-of-2-vases-563.webp?v=1772345873,10,"",,,,,,,,
7-multicolor-vase-set-of-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0751/7588/7034/files/7-multicolor-vase-set-of-2-vases-709.webp?v=1772345873,11,"",,,,,,,,
7-multicolor-vase-set-of-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0751/7588/7034/files/7-multicolor-vase-set-of-2-vases-445.webp?v=1772345874,12,"",,,,,,,,
handcrafted-brass-decorative-14-vase,"Handcrafted Brass Decorative 14"" Vase","<style type=""text/css""><!--
td {border: 1px solid #ccc;}br {mso-data-placement:same-cell;}
--></style>
<p data-mce-fragment=""1"">This decorative brass vase is handcrafted by skilled artisans. It can be used as a decorative item or as an urn.</p>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">Features:</strong></p>
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">Crafted From Brass</li>
<li data-mce-fragment=""1"">Multicolor Finish</li>
<li data-mce-fragment=""1"">Hand Crafting</li>
<li data-mce-fragment=""1"">Beautiful Traditional Design</li>
<li data-mce-fragment=""1"">Masterpiece Eye Catching Styling</li>
</ul>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">Dimensions:</strong></p>
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">Decorative 14"" Vase: 24.5""Dia x 14""H</li>
</ul>
<style type=""text/css""><!--
td {border: 1px solid #ccc;}br {mso-data-placement:same-cell;}
--></style>
<p><span style=""text-decoration: underline;""><strong>Note: Product color may slightly vary due to photographic lighting sources or your screen settings</strong></span></p>",hometrends,,Vases,"",false,Title,Default Title,,,,,,,,AHC-00094,0.0,,0,deny,manual,14899.00,,true,false,,,,,"",https://cdn.shopify.com/s/files/1/0751/7588/7034/files/handcrafted-brass-decorative-14-vase-vases-582.webp?v=1772345864,1,"",false,,,https://cdn.shopify.com/s/files/1/0751/7588/7034/files/handcrafted-brass-decorative-14-vase-vases-582.webp?v=1772345864,kg,,,active
handcrafted-brass-decorative-14-vase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0751/7588/7034/files/handcrafted-brass-decorative-14-vase-vases-723.webp?v=1772345865,2,"",,,,,,,,
handcrafted-brass-decorative-14-vase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0751/7588/7034/files/handcrafted-brass-decorative-14-vase-vases-909.webp?v=1772345866,3,"",,,,,,,,
handcrafted-brass-decorative-14-vase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0751/7588/7034/files/handcrafted-brass-decorative-14-vase-vases-957.webp?v=1772345866,4,"",,,,,,,,
handcrafted-brass-decorative-14-vase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0751/7588/7034/files/handcrafted-brass-decorative-14-vase-vases-134.webp?v=1772345866,5,"",,,,,,,,
handcrafted-brass-multicolor-decorative-8-jug,"Handcrafted Brass Multicolor Decorative 8"" Jug","<style type=""text/css""><!--
td {border: 1px solid #ccc;}br {mso-data-placement:same-cell;}
--></style>
<p data-mce-fragment=""1"">Handcrafted Brass Multicolor Decorative 8"" Jug. kitchen faucet mounts easily to any decor. This stylish addition is perfect for your commercial or residential home.</p>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">Features:</strong></p>
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">Crafted From Brass</li>
<li data-mce-fragment=""1"">Multicolor Finish</li>
<li data-mce-fragment=""1"">Beautiful Traditional Design</li>
<li data-mce-fragment=""1"">Hand Crafting</li>
<li data-mce-fragment=""1"">Masterpiece Eye Catching Styling</li>
</ul>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">Dimensions:</strong></p>
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">Multicolor Decorative: 8""Jug: 4""W x 8""H</li>
</ul>
<style type=""text/css""><!--
td {border: 1px solid #ccc;}br {mso-data-placement:same-cell;}
--></style>
<p><span style=""text-decoration: underline;""><strong>Note: Product color may slightly vary due to photographic lighting sources or your screen settings</strong></span></p>",hometrends,,Vases,"",false,Title,Default Title,,,,,,,,AHC-00093,0.0,,0,deny,manual,2865.00,,true,false,,,,,"",https://cdn.shopify.com/s/files/1/0751/7588/7034/files/handcrafted-brass-multicolor-decorative-8-jug-vases-992.webp?v=1772345860,1,"",false,,,,kg,,,active
handcrafted-brass-multicolor-decorative-8-jug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0751/7588/7034/files/handcrafted-brass-multicolor-decorative-8-jug-vases-545.webp?v=1772345860,2,"",,,,,,,,
handcrafted-brass-multicolor-decorative-8-jug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0751/7588/7034/files/handcrafted-brass-multicolor-decorative-8-jug-vases-567.webp?v=1772345860,3,"",,,,,,,,
handcrafted-brass-multicolor-decorative-8-jug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0751/7588/7034/files/handcrafted-brass-multicolor-decorative-8-jug-vases-734.webp?v=1772345861,4,"",,,,,,,,
handcrafted-brass-multicolor-decorative-8-jug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0751/7588/7034/files/handcrafted-brass-multicolor-decorative-8-jug-vases-518.webp?v=1772345861,5,"",,,,,,,,
handcrafted-brass-multicolor-decorative-8-jug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0751/7588/7034/files/handcrafted-brass-multicolor-decorative-8-jug-vases-584.webp?v=1772345862,6,"",,,,,,,,
